Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1026,N408AA,AA1026DFWMCI,Depart,DFW,6:40,640,-97.0375,32.89638889
American,AA,1027,N5TDAA,AA1027DFWONT,Arrive,ONT,21:25,2127,-117.6011111,34.05583333
American,AA,1027,N5TDAA,AA1027DFWONT,Depart,DFW,20:10,2010,-97.0375,32.89638889
American,AA,1028,N599AA,AA1028STLLGA,Arrive,LGA,17:15,1719,-73.8725,40.77722222
American,AA,1028,N599AA,AA1028STLLGA,Depart,STL,13:50,1353,-90.35972222,38.7475
American,AA,1030,N475AA,AA1030MCILGA,Arrive,LGA,11:30,1131,-73.8725,40.77722222
American,AA,1030,N475AA,AA1030MCILGA,Depart,MCI,7:35,735,-94.71388889,39.2975
American,AA,1031,N549AA,AA1031OMADFW,Arrive,DFW,21:20,2121,-97.0375,32.89638889
American,AA,1031,N549AA,AA1031OMADFW,Depart,OMA,19:25,1926,-95.89361111,41.3025
American,AA,1032,N5TKAA,AA1032PHXDFW,Arrive,DFW,11:05,1109,-97.0375,32.89638889
American,AA,1032,N5TKAA,AA1032PHXDFW,Depart,PHX,7:55,755,-112.0080556,33.43416667
American,AA,1033,N468AA,AA1033BNAMIA,Arrive,MIA,10:00,1004,-80.29055556,25.79305556
American,AA,1033,N468AA,AA1033BNAMIA,Depart,BNA,6:55,657,-86.67805556,36.12444444
American,AA,1034,N228AA,AA1034DFWBOS,Arrive,BOS,0:40,44,-71.005,42.36416667
American,AA,1034,N228AA,AA1034DFWBOS,Depart,DFW,20:45,2045,-97.0375,32.89638889
American,AA,1035,N5FTAA,AA1035MCOORD,Arrive,ORD,10:35,1035,-87.90444444,41.97944444
American,AA,1035,N5FTAA,AA1035MCOORD,Depart,MCO,7:15,719,-81.31583333,28.42888889
American,AA,1037,N3AXAA,AA1037BOSORD,Arrive,ORD,12:05,1205,-87.90444444,41.97944444
American,AA,1037,N3AXAA,AA1037BOSORD,Depart,BOS,9:55,959,-71.005,42.36416667
American,AA,1038,N550AA,AA1038LAXLAS,Arrive,LAS,10:50,1053,-115.1522222,36.08027778
American,AA,1038,N550AA,AA1038LAXLAS,Depart,LAX,9:45,949,-118.4080556,33.9425
